"endereco";"municipio";"nome";"latitude";"longitude"; "x";"y"
Rua Benjamin Constant, 3, Pref. Mun. de Diadema, Vila Diadema;DIADEMA;Diadema;-23.6889637;-46.6041867;336477.18354989646;7379334.408121271
Alameda dos Tupiniquins, 1571, E.M.Prof.J.C. da Silva Borges, Planalto Paulista;SAO PAULO;Congonhas;-23.6160321;-46.6633094;330353.6331846933;7387341.808255728
Rua Padre José Maria, 555, Centro Ed. e Esp. Mun. Joerg Brüder, Santo Amaro;SAO PAULO;Santo Amaro;-23.6548192;-46.7096562;325675.77462963056;7382990.657261943
Av. Santos Dumont, 1019, Parque de Material Aeronáutico, Santana;SAO PAULO;Santana;-23.5154239;-46.62933;333694.16706300044;7398522.902568927
Rua dos Vianas, 625, Vila Baeta Neves;SAO BERNARDO DO CAMPO;S.Bernardo-Centro;-23.6993401;-46.547356;342285.2632641732;7378249.412329493
Av. Prof. Frederico Herman Júnior, 345, CETESB, Alto de Pinheiros;SAO PAULO;Pinheiros;-23.56119;-46.7015441;326379.94959047216;7393369.186583486
Estrada São Paulo-Jundiaí, 1666, Perus;SAO PAULO;Perus;-23.4150815;-46.75642029999999;320580.17955195217;7409481.96899531
Rua Bresser, 2341, Centro Esportivo Municipal – Subprefeitura da Moóca, Moóca;SAO PAULO;Mooca;-23.5493885;-46.6014959;336578.45925646194;7394793.75557329
Av. Fernando do Espírito Santo Alves de Mattos, 1000, SESC Itaquera, Prq do Carmo;SAO PAULO;Itaquera;-23.5825681;-46.470467;349992.52855593595;7391262.998367849
Rua Jaguar, 225, Bibl. Mun. Vicente Paulo Guimarães, Vila Curuçá;SAO PAULO;Itaim Paulista;-23.5017463;-46.4206558;354987.5385125871;7400263.763840962
Rua Domingas Galleteri Blotta, 171, Jd Santa Cruz;SAO PAULO;Interlagos;-23.6808488;-46.6757783;329165.53936698847;7380149.081086191
Parque do Ibirapuera, s\/nº, Setor 25, Prq Ibirapuera;SAO PAULO;Ibirapuera;-23.5874162;-46.6576336;330896.0739534155;7390517.452019843
Rua Imperial, 230, Hospital Municipal Pimental-Bonsucesso, Prq das Nações;GUARULHOS;Guarulhos-Pimentas;-23.4400857;-46.41011959999999;355996.5577903034;7407101.997433538
strada de Itapecerica, 5859, Campus UNASP, Capão Redondo;SAO PAULO;Capão Redondo;-23.6662666;-46.7831266;318196.6953992268;7381631.223261547
v. Inocêncio Seráfico, 1051, Reservatório da SABESP, Centro;CARAPICUIBA;Carapicuíba;-23.5301409;-46.8354937;312661.5271884691;7396638.988260975
Av. Doutor Arnaldo, 725, Faculdade de Saúde Pública, Sumaré;SAO PAULO;Cerqueira César;-23.5535158;-46.673472;329235.71576833504;7394252.772988007
Av. Professor Lineu Prestes, 2242, Cidade Universitária, Butantã;SAO PAULO;Cid.Universitária-USP-Ipen;-23.5666823;-46.7277265;323714.4754229692;7392728.976284136
Rua Salgado Filho, 121, Prq. Fernando Jorge;CUBATAO;Cubatão-Centro;-23.8795648;-46.4182329;355651.13679795107;7358429.434698258
v. Paulo Guilguer Reimberg, 2448, E.E. Pres. Tancredo A. Neves, Jd Novo Horizonte;SAO PAULO;Grajaú-Parelheiros;-21.9727932;-46.81680859999999;312454.08237380174;7569116.836929897
Av. João Bernardo Medeiros, 173, Paço Municipal, Jd Bom Clima;GUARULHOS;Guarulhos-Paço Municipal;-23.4558697;-46.5183867;344953.43751841655;7405241.719938029
Av. Embaixador Macedo Soares, 12889, Centro de Trein. da Polícia Militar, Vl Ribeiro de Barros;SAO PAULO;Marg.Tietê-Pte Remédios;-23.5186189;-46.7430349;322087.08700062765;7398032.701104035
Rua Vitorino Dell Antônia, s\/nº, Paço Municipal, Vila Noêmia;MAUA;Mauá;-23.6692225;-46.4650134;350647.4661965353;7381673.18921561
Rua Capitão José Amaral, 80, E.E. Cacilda Becker, Vila Portuguesa;SAO PAULO;N.Senhora do Ó;-23.4799634;-46.69236979999999;327210.4340212679;7402375.315359792
Av. dos Autonomistas, s\/nº, Esquina com Rua São Mauricio, Vila Quitaúna;OSASCO;Osasco;-23.5264022;-46.7917002;317128.1944372838;7397109.555945475
Parque Dom Pedro II, s\/nº, Palácio das Indústrias, Centro;SAO PAULO;Parque D.Pedro II;-23.5476409;-46.6303335;333632.23410789954;7394954.099166028
Estrada Turística do Jaraguá, s\/nº, Altura do n. 9000, Parque Est. do Jaraguá, Vila Jaraguá;SAO PAULO;Pico do Jaraguá;-23.469316;-46.7542667;320873.4517321964;7403478.638809266
Rua Manágua, 2, Posto Pueric. Alto Capuava, Prq Capuava;SANTO ANDRE;S.André-Capuava;-23.6415859;-46.4919545;347867.6979141876;7384705.042097945
Rua Xavier de Toledo, 521, EMEB Arlindo Ferreira, Vila Paulicéia;SAO BERNARDO DO CAMPO;S.Bernardo-Paulicéia;-23.670996;-46.5850029;338411.45172665274;7381345.99764489
Presidente Kennedy, 700, Hosp. Mun. de Emerg. Albert Sabin, Santa Paula;SAO CAETANO DO SUL;São Caetano do Sul;-23.6176297;-46.5668298;340200.17344357574;7387276.092179369
Praça Nicola Vivilechio, 99, Jd Bom Tempo;TABOAO DA SERRA;Taboão da Serra;-23.6092398;-46.7559152;320894.7612964503;7387981.026026478
